date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:17:53	757026/757026	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:17:53%20GMT	https://the-everest.amenitiz.io/legal-notices	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/legal-notices.html	(from https://the-everest.amenitiz.io/)
14:17:54	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265bd0be2-4d7%22	https://the-everest.amenitiz.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://the-everest.amenitiz.io/)
14:17:56	99903/99903	---MCZ	200	added ('OK')	application/json	etag:W/%2215c7be83a875e7f6570054817f312478%22	https://the-everest.amenitiz.io//api_public/v1/client_booking_engine/availability_with_restrictions	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/api_public/v1/client_booking_engine/availability_with_restrictions.json	(from https://the-everest.amenitiz.io/)
14:17:56	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:56%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/en)
14:17:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:57%20GMT	https://the-everest.amenitiz.io/'https://res.cloudinary.com/amenitiz/image/upload/e_blur:500,o_50,c_scale,q_auto:low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/'https_/res.cloudinary.com/amenitiz/image/upload/e_blur_500,o_50,c_scale,q_auto_low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	(from https://the-everest.amenitiz.io/en)
14:17:58	99903/99903	---MCZ	200	added ('OK')	application/json	etag:W/%2215c7be83a875e7f6570054817f312478%22	https://the-everest.amenitiz.io/en/api_public/v1/client_booking_engine/availability_with_restrictions	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en/api_public/v1/client_booking_engine/availability_with_restrictions.json	(from https://the-everest.amenitiz.io/en)
14:17:59	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:17:59%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/fr)
14:18:01	1117229/1117229	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:00%20GMT	https://the-everest.amenitiz.io/fr/booking/room	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/booking/room.html	(from https://the-everest.amenitiz.io/fr)
14:18:02	755377/755377	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:01%20GMT	https://the-everest.amenitiz.io/fr/chambres	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/chambres.html	(from https://the-everest.amenitiz.io/fr)
14:18:03	753480/753480	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:02%20GMT	https://the-everest.amenitiz.io/fr/page/beach-club	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/page/beach-club.html	(from https://the-everest.amenitiz.io/fr)
14:18:04	764992/764992	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:03%20GMT	https://the-everest.amenitiz.io/fr/page/restaurant	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/page/restaurant.html	(from https://the-everest.amenitiz.io/fr)
14:18:05	761056/761056	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:04%20GMT	https://the-everest.amenitiz.io/fr/contact	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/contact.html	(from https://the-everest.amenitiz.io/fr)
14:18:06	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:18:06%20GMT	https://the-everest.amenitiz.io/'https://res.cloudinary.com/amenitiz/image/upload/e_blur:500,o_50,c_scale,q_auto:low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/'https_/res.cloudinary.com/amenitiz/image/upload/e_blur_500,o_50,c_scale,q_auto_low,w_200/v1656419144/tjxmf9nujudmxkrfaaao.jpg'	(from https://the-everest.amenitiz.io/fr)
14:18:07	790043/790043	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:05%20GMT	https://the-everest.amenitiz.io/fr/page/nettoyage-des-chambres-en-periode-covid-19	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/page/nettoyage-des-chambres-en-periode-covid-19.html	(from https://the-everest.amenitiz.io/fr)
14:18:07	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:07%20GMT	https://the-everest.amenitiz.io/fr/chambre/premium-apartment	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/chambre/premium-apartment	(from https://the-everest.amenitiz.io/fr)
14:18:08	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:08%20GMT	https://the-everest.amenitiz.io/fr/chambre/premium-rooms	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/chambre/premium-rooms	(from https://the-everest.amenitiz.io/fr)
14:18:09	0/0	---MC-	302	error ('Found')	text/html	date:Thu,%2008%20Feb%202024%2013:18:09%20GMT	https://the-everest.amenitiz.io/fr/chambre/deluxe-villa	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/chambre/deluxe-villa	(from https://the-everest.amenitiz.io/fr)
14:18:11	755380/755380	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:10%20GMT	https://the-everest.amenitiz.io/fr/chambres.fr	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/chambres-2.html	(from https://the-everest.amenitiz.io/fr)
14:18:12	855649/855649	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:11%20GMT	https://the-everest.amenitiz.io/en?origin_locale=fr	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/en6ddd.html	(from https://the-everest.amenitiz.io/fr)
14:18:13	856479/856479	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:12%20GMT	https://the-everest.amenitiz.io/fr?origin_locale=fr	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr6ddd.html	(from https://the-everest.amenitiz.io/fr)
14:18:14	855313/855313	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:14%20GMT	https://the-everest.amenitiz.io/es?origin_locale=fr	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/es6ddd.html	(from https://the-everest.amenitiz.io/fr)
14:18:14	763397/763397	---MCZ	200	added ('OK')	text/html	date:Thu,%2008%20Feb%202024%2013:18:14%20GMT	https://the-everest.amenitiz.io/fr/mentions-legales	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/mentions-legales.html	(from https://the-everest.amenitiz.io/fr)
14:18:15	99903/99903	---MCZ	200	added ('OK')	application/json	etag:W/%2215c7be83a875e7f6570054817f312478%22	https://the-everest.amenitiz.io/fr/api_public/v1/client_booking_engine/availability_with_restrictions	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/fr/api_public/v1/client_booking_engine/availability_with_restrictions.json	(from https://the-everest.amenitiz.io/fr)
14:18:16	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2008%20Feb%202024%2013:18:16%20GMT	https://the-everest.amenitiz.io/e,location.href	/Users/fcerdan/websites/Amenitiz/the-everest.amenitiz.io/e,location.href	(from https://the-everest.amenitiz.io/es)
